ROID,MSNAME,DEST,N_RETURNEES,MSISO
RO-01043,Germany,Afghanistan,24,DEU
RO-01100,Austria,Pakistan,6,AUT
RO-01100,Finland,Pakistan,2,FIN
RO-01100,Germany,Pakistan,33,DEU
RO-01100,Sweden,Pakistan,1,SWE
RO-01192,Italy,Nigeria,40,ITA
RO-01116,Germany,Nigeria,26,DEU
RO-01262,Italy,Tunisia,35,ITA
RO-01067,Austria,Pakistan,4,AUT
RO-01067,Finland,Pakistan,4,FIN
RO-01067,Germany,Pakistan,27,DEU
RO-01170,Germany,Ghana,19,DEU
RO-01320,Italy,Nigeria,28,ITA
RO-00871,Austria,Kosovo,8,AUT
RO-00871,Austria,North Macedonia,3,AUT
RO-00871,Austria,Serbia,5,AUT
RO-00879,Germany,Pakistan,27,DEU
RO-00901,Germany,Bangladesh,27,DEU
RO-00904,Belgium,Albania,3,BEL
RO-00904,France,Albania,21,FRA
RO-00941,Italy,Egypt,22,ITA
RO-00966,Germany,Georgia,55,DEU
RO-00966,Iceland,Georgia,4,ISL
RO-00966,Sweden,Georgia,1,SWE
RO-01095,Italy,Nigeria,32,ITA
RO-01036,Germany,Pakistan,27,DEU
RO-01109,Germany,Albania,29,DEU
RO-01109,Germany,Kosovo,10,DEU
RO-01167,Italy,Tunisia,40,ITA
RO-01037,France,Georgia,5,FRA
RO-01037,Germany,Georgia,44,DEU
RO-01159,Germany,Moldova,34,DEU
RO-01159,Germany,Serbia,21,DEU
RO-01202,Germany,Ghana,25,DEU
RO-01015,Austria,Georgia,8,AUT
RO-01015,Austria,Uzbekistan,7,AUT
RO-01015,Germany,Georgia,31,DEU
RO-01022,Spain,Albania,12,ESP
RO-01022,Spain,Georgia,18,ESP
RO-00916,Greece,Pakistan,17,GRC
RO-00916,Sweden,Pakistan,2,SWE
RO-01075,Germany,Serbia,29,DEU
RO-01238,Italy,Tunisia,33,ITA
RO-01136,Austria,Nigeria,13,AUT
RO-01136,Germany,Nigeria,7,DEU
RO-01136,Luxembourg,Nigeria,4,LUX
RO-01217,Belgium,Albania,5,BEL
RO-01217,France,Albania,28,FRA
RO-00882,France,Georgia,5,FRA
RO-00882,Germany,Georgia,55,DEU
RO-00882,Sweden,Georgia,1,SWE
RO-00944,Italy,Tunisia,9,ITA
RO-00978,Belgium,Albania,5,BEL
RO-00978,France,Albania,24,FRA
RO-00978,Netherlands,Albania,7,NLD
RO-01024,Germany,Afghanistan,32,DEU
RO-01078,Italy,Egypt,18,ITA
RO-01112,Italy,Tunisia,21,ITA
RO-00973,Austria,Nigeria,5,AUT
RO-00973,Germany,Nigeria,13,DEU
RO-00973,Sweden,Nigeria,1,SWE
RO-00950,Germany,Serbia,60,DEU
RO-01066,Germany,Pakistan,39,DEU
RO-01066,Poland,Pakistan,1,POL
RO-01133,Belgium,Albania,5,BEL
RO-01133,France,Albania,29,FRA
RO-01269,Italy,Tunisia,29,ITA
RO-00927,Germany,Gambia,20,DEU
RO-01025,Spain,Albania,9,ESP
RO-01025,Spain,Georgia,22,ESP
RO-00949,Germany,Serbia,49,DEU
RO-01002,France,Pakistan,3,FRA
RO-01002,Germany,Pakistan,35,DEU
RO-01002,Italy,Pakistan,4,ITA
RO-01002,Switzerland,Pakistan,2,CHE
RO-01071,Belgium,Albania,5,BEL
RO-01071,France,Albania,27,FRA
RO-00989,France,Georgia,6,FRA
RO-00989,Germany,Georgia,46,DEU
RO-01135,Austria,Nigeria,19,AUT
RO-01135,Hungary,Nigeria,1,HUN
RO-01135,Sweden,Nigeria,1,SWE
RO-01200,Spain,Colombia,42,ESP
RO-01200,Spain,Dominican Republic,4,ESP
RO-01290,Italy,Tunisia,16,ITA
RO-00926,Germany,Bosnia and Herzegovina,29,DEU
RO-00926,Germany,Moldova,49,DEU
RO-00932,Belgium,Albania,5,BEL
RO-00932,France,Albania,29,FRA
RO-00884,France,Georgia,4,FRA
RO-00884,Germany,Georgia,74,DEU
RO-00946,Germany,Kosovo,29,DEU
RO-00946,Germany,Moldova,56,DEU
RO-00958,Belgium,Albania,5,BEL
RO-00958,France,Albania,30,FRA
RO-00988,Austria,Guinea,1,AUT
RO-00988,Belgium,Congo DR,3,BEL
RO-00988,Belgium,Guinea,4,BEL
