ID,OPTYPE,N_RETURNEES,N_FX_STAFF,N_ESC_OBS_MED,N_ESC,N_ESC_LEAD,N_MEDS,N_OBS,N_MONITORS,N_MONITORS_POOL,FX_CONTRIB,n
RO-01330,NRO,11,0,45,44,1,0,0,0,0,49883.9,2
RO-01331,NRO,29,0,82,80,2,0,0,0,2,57570,2
RO-01333,NRO,42,0,68,67,1,0,0,0,2,97755.78,2
RO-01334,NRO,14,0,44,42,2,0,0,0,3,43318.9,2
RO-01335,CRO,44,1,50,46,1,0,3,1,0,46855.05,2
RO-01336,CRO,40,1,48,44,1,0,3,1,0,46104.01,2
RO-01337,CRO,31,1,47,47,0,0,0,1,1,46852.1,2
RO-01338,CRO,29,1,48,44,1,0,3,1,0,44627.92,2
RO-01341,NRO,30,0,111,108,3,0,0,0,3,167336.8,2
RO-01342,CRO,49,1,48,47,1,0,0,1,0,58773.62,2
RO-01343,CRO,48,0,51,46,1,0,4,1,0,46548.59,2
RO-01347,NRO,39,0,94,93,1,0,0,1,0,395467.97,2
RO-01348,NRO,7,0,27,26,1,0,0,0,0,43318.9,2
RO-01350,NRO,51,0,77,76,1,0,0,0,2,96093.72,2
RO-01351,NRO,23,0,38,38,0,0,0,0,0,97548.02,2
RO-01353,NRO,20,0,61,59,2,0,0,0,2,59579.9,2
RO-01354,NRO,37,0,63,62,1,0,0,0,0,147311.93,2
RO-01356,NRO,10,0,37,35,2,0,0,0,2,39884.9,2
RO-01357,NRO,19,0,27,26,1,0,0,0,0,85496.85,2
RO-01359,NRO,21,0,59,57,2,0,0,0,0,40894.9,2
RO-01363,NRO,17,0,28,27,1,0,0,0,0,38026.5,2
RO-01365,NRO,15,1,55,54,1,0,0,0,0,243205.01,2
RO-01369,NRO,8,0,35,34,1,0,0,0,0,39844.5,2
RO-01370,NRO,14,0,39,37,2,0,0,0,0,40581.8,2
RO-01393,NRO,5,0,13,12,1,0,0,0,0,95534.62,2
RO-01401,NRO,16,0,37,35,1,0,1,0,1,58183.07,2
RO-01405,NRO,55,0,40,39,1,0,0,1,0,102215.13,2
RO-01409,NRO,61,0,48,47,1,0,0,1,0,96144.16,2
RO-01414,NRO,53,0,60,59,1,0,0,1,0,169361.5,2
RO-01415,NRO,75,0,70,69,1,0,0,1,0,101031.41,2
RO-01420,NRO,26,0,53,51,1,0,1,0,1,61601.92,2
RO-01421,JRO,55,0,59,58,1,0,0,1,2,149475.79,2
RO-01425,NRO,50,0,41,40,1,0,0,0,0,50607.34,2
RO-01426,NRO,22,0,69,68,1,0,0,1,0,105154.71,2
RO-01428,NRO,40,0,66,65,1,0,0,1,0,73582.13,2
RO-01429,NRO,18,0,42,39,2,0,1,0,0,60592.43,2
RO-01430,NRO,19,0,42,42,0,0,0,0,0,60908.05,2
