ROID,DATE,MSISO,FX_CONTRIB,MSNAME,N_ESC_LEAD,N_ESC,FRESO_AP_CAT_1,FRESO_AP_CAT_2,FRESO_HQ_CAT_1,FRESO_HQ_CAT_2,FRESO_CAT_3,N_MEDS,N_OBS_MS,N_OBS_TC,N_MONITORS_NAT,N_MONITORS_POOL_MS,N_MONITORS_FX,N_MONITORS,N_OBS,N_ESC_OBS_MED
RO-01019,21/05/2019,BEL,130.98,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00966,22/05/2019,DEU,106453.51,Germany,1,38,0,0,0,0,0,1,0,0,0,1,0,1,0,40
RO-00966,22/05/2019,ISL,97091.3,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-00966,22/05/2019,SWE,12888.05,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-01022,23/05/2019,ESP,148899.58,Spain,1,62,0,0,0,0,0,2,0,0,2,0,0,2,0,65
RO-01015,23/05/2019,AUT,159370.93,Austria,1,37,0,0,0,0,0,3,0,0,1,0,0,1,0,41
RO-01015,23/05/2019,DEU,21048.42,Germany,1,40,0,0,0,0,0,1,0,0,0,0,0,0,0,42
RO-01078,24/05/2019,ITA,62620,Italy,1,50,0,0,0,0,0,2,0,0,0,0,0,0,0,53
RO-01081,27/05/2019,ITA,50399,Italy,1,62,0,0,0,0,0,2,0,0,0,0,0,0,0,65
RO-01006,27/05/2019,CHE,449991.26,Switzerland,1,34,0,0,0,0,0,4,1,0,0,0,0,0,1,40
RO-01006,27/05/2019,AUT,7459.86,Austria,1,11,0,0,0,0,0,0,1,0,1,0,0,1,1,13
RO-01006,27/05/2019,AUT,7459.86,Austria,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
RO-01059,28/05/2019,SWE,574211.93,Sweden,2,64,0,0,0,0,0,3,0,0,1,0,0,1,0,69
RO-01059,28/05/2019,AUT,2665.39,Austria,1,34,0,0,0,0,0,0,0,0,1,0,0,1,0,35
RO-01059,28/05/2019,BGR,5423.7,Bulgaria,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5
RO-01044,28/05/2019,AUT,62120.56,Austria,1,23,0,0,0,0,0,3,0,0,1,0,0,1,0,27
RO-01020,28/05/2019,FRA,42754.79,France,1,36,0,0,0,0,0,2,3,0,0,1,0,1,3,42
RO-01020,28/05/2019,BEL,131.54,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO-01005,28/05/2019,DEU,100231.97,Germany,1,45,0,0,0,0,0,1,0,0,0,1,0,1,0,47
RO-01003,29/05/2019,DEU,85569.42,Germany,1,44,0,0,0,0,0,2,0,0,0,1,0,1,0,47
RO-01083,30/05/2019,ITA,44440,Italy,2,51,0,0,0,0,0,2,0,0,0,0,0,0,0,55
